"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",2.53352744397218,0.0784366401327973,0,"relative convergence (4)",1089.70843045786,1089.80443045786,128,"FULL",0.4,1,0.991807228299841,322.643343251838
"gamma",2.7767657870961,0.065866506242625,0,"relative convergence (4)",803.701611506505,803.837975142869,91,"FULL",0.6,1,0.968938936309335,156.528611848711
"gamma",2.24154938496523,0.0623938455573776,0,"relative convergence (4)",1139.89233978137,1139.96551051308,167,"RP",0.7,1,0.0773476701557348,3084.40355205373
"llog",0.473460688172986,3.61555489837836,0,"relative convergence (4)",687.448785568521,687.583617029195,92,"RP",0.9,1,0.0562974945289135,1815.75082652608
"weibull",1.69366256556574,42.9517568866376,0,"relative convergence (4)",1201.33592707257,1201.42615263648,136,"FULL",0.4,2,0.984764733662151,345.260130036953
"weibull",2.17660966171423,47.6562637788,0,"relative convergence (4)",737.020796704998,737.168944853146,84,"FULL",0.6,2,0.993388096964077,140.931827578625
"llog",0.528431366417482,3.60590117624848,0,"relative convergence (4)",1199.5991403156,1199.6697285509,173,"RP",0.7,2,0.0677572157463016,3647.47657383409
"gamma",2.40083402433656,0.069917309713328,0,"relative convergence (4)",594.099253117107,594.242110259964,87,"RP",0.9,2,0.0758552917901425,1274.35626948875
"gamma",2.25166496963373,0.0584610077255244,0,"relative convergence (4)",1072.81029837592,1072.91113871205,122,"FULL",0.4,3,0.971588521744696,313.918900001316
"gamma",1.97068960229642,0.0550841439267433,0,"relative convergence (4)",814.163422226884,814.296755560218,93,"FULL",0.6,3,0.974737034585538,159.01724721674
"gamma",2.14522768576078,0.0525217055180046,0,"relative convergence (4)",1302.75012032941,1302.81498519427,188,"RP",0.7,3,0.0687453025670585,3906.760440969
"gamma",1.97533314571533,0.0435479991027103,0,"relative convergence (4)",665.614404254194,665.746272386062,94,"RP",0.9,3,0.0666687017726725,1566.61884313542
"weibull",1.76876556474374,41.6278638199407,0,"relative convergence (4)",1173.15841300565,1173.25001605908,134,"FULL",0.4,4,0.991014673628108,338.037376150611
"weibull",1.78386571627545,34.4859706339072,0,"relative convergence (4)",710.385913694336,710.534061842485,84,"FULL",0.6,4,0.998744363263294,140.176010147947
"llog",0.489710204732786,3.44472023789845,0,"relative convergence (4)",1080.25841176187,1080.33583111671,158,"RP",0.7,4,0.0747990013418169,3017.6109528898
"weibull",1.95203031934469,35.8952542180936,0,"relative convergence (4)",648.850176027315,648.986539663679,91,"RP",0.9,4,0.0737563601374815,1370.87989324094
"llog",0.487725666665703,3.55840571340336,0,"relative convergence (4)",1243.11439774177,1243.20135426351,141,"FULL",0.4,5,0.895314616466354,393.716346764508
"weibull",1.4548748733163,48.5791537998548,0,"relative convergence (4)",758.712413430016,758.860561578164,84,"FULL",0.6,5,0.942659578117706,148.515968277276
"gamma",2.65308594245304,0.101218858862215,0,"relative convergence (4)",1068.36526196715,1068.43979612864,164,"RP",0.7,5,0.0994783150245251,2355.1435730285
"gamma",2.44856094381642,0.0694644519243888,0,"relative convergence (4)",617.417027992383,617.554959026866,90,"RP",0.9,5,0.0714951125326881,1398.6970081945
"gamma",2.01205190257694,0.0496327826601704,0,"relative convergence (4)",1170.92152954905,1171.01455280486,132,"FULL",0.4,6,0.957621848943435,344.603666221793
"gamma",2.09278714867863,0.0567157776063198,0,"relative convergence (4)",781.197033135353,781.336568019074,89,"FULL",0.6,6,0.973708730673027,152.338506024081
"llog",0.482078474382863,3.27915863712696,0,"relative convergence (4)",1124.39427184548,1124.46444728408,174,"RP",0.7,6,0.0917621807050415,2708.86575124486
"gamma",1.90834898487556,0.0591027953069926,0,"relative convergence (4)",533.957164194627,534.100021337485,87,"RP",0.9,6,0.107426127060378,899.843169551634
"gamma",2.37155531060473,0.0630740955459598,0,"relative convergence (4)",1224.34647880994,1224.43407005082,140,"FULL",0.4,7,0.977028380120233,358.229102778907
"llog",0.544937566251889,3.67949078109391,0,"relative convergence (4)",770.391592694208,770.536171007461,86,"FULL",0.6,7,0.845363422512394,169.552324498913
"weibull",2.01073948263275,35.2087741173363,0,"relative convergence (4)",1095.57841875837,1095.65736612679,155,"RP",0.7,7,0.0722912600155891,3063.0061141668
"llog",0.447534596622696,3.27431492990609,0,"relative convergence (4)",636.469727479145,636.600162261754,95,"RP",0.9,7,0.0833796766654532,1265.962639542
"llog",0.537285221473317,3.54559461312707,0,"relative convergence (4)",1105.78232562536,1105.88068628109,125,"FULL",0.4,8,0.877835574431726,355.989218370763
"gamma",2.521166487626,0.0638265645709814,0,"relative convergence (4)",695.467328109172,695.625222846014,79,"FULL",0.6,8,0.973598350357658,135.237150533686
"llog",0.528782679569081,3.64359953521274,0,"relative convergence (4)",1211.76424299246,1211.83360715431,176,"RP",0.7,8,0.0645416915229862,3895.59934819847
"llog",0.49420891355279,3.53456187450062,0,"relative convergence (4)",722.390876196374,722.512088317586,102,"RP",0.9,8,0.0671295721135099,1688.27730857121
"llog",0.479555339195267,3.47653296813933,0,"relative convergence (4)",1154.20624894017,1154.29927219599,132,"FULL",0.4,9,0.913212640383504,361.361620948891
"gamma",2.14274390917268,0.0499502069240995,0,"relative convergence (4)",678.783689377835,678.948072939479,76,"FULL",0.6,9,0.950859700061141,133.212782767554
"llog",0.5178872664292,3.58762604143943,0,"relative convergence (4)",1135.21443592482,1135.28943592482,163,"RP",0.7,9,0.0672334652060929,3463.41129589793
"gamma",2.16865664568908,0.0563185736813716,0,"relative convergence (4)",641.632101047472,641.76396917934,94,"RP",0.9,9,0.0733652957989392,1423.62193605379
"weibull",1.80884673574124,39.4812843982284,0,"relative convergence (4)",1056.54734328294,1056.64818361907,122,"FULL",0.4,10,0.995351163127597,306.424517596009
"llog",0.523290784450365,3.55952597373792,0,"relative convergence (4)",849.945901692996,850.07493395106,96,"FULL",0.6,10,0.880608877480328,181.692467668286
"gamma",2.24700970710072,0.0627042522650149,0,"relative convergence (4)",1057.60249651715,1057.68196671583,154,"RP",0.7,10,0.0773862552709736,2842.88210134544
"gamma",2.39671865099879,0.0786760798976878,0,"relative convergence (4)",693.072387576561,693.18889243093,106,"RP",0.9,10,0.0896798370432278,1313.31391381773
"gamma",2.26672857362693,0.0591854375287014,0,"relative convergence (4)",1308.11994895131,1308.20214073214,149,"FULL",0.4,11,0.972666203851855,382.967968378939
"llog",0.562285725033076,3.41815333256006,0,"relative convergence (4)",736.441419434571,736.589567582719,84,"FULL",0.6,11,0.891973162679516,156.95539491282
"llog",0.433071635645528,3.3536779285847,0,"relative convergence (4)",1014.53427476922,1014.61878181147,145,"RP",0.7,11,0.0711533421931182,2911.21753045202
"gamma",2.19035404962235,0.055332914161383,0,"relative convergence (4)",614.61839635908,614.761253501937,87,"RP",0.9,11,0.0698332882392979,1384.24910388608
"llog",0.470919057586959,3.64323952836331,0,"relative convergence (4)",1127.06639185166,1127.1631660452,127,"FULL",0.4,12,0.885204525496794,358.67417173654
"weibull",1.73758723065295,50.9692176760073,0,"relative convergence (4)",694.681990822486,694.844152984648,77,"FULL",0.6,12,0.960258451849687,133.644575672448
"gamma",2.51500289447587,0.082018067510341,0,"relative convergence (4)",1154.61092057194,1154.68277685936,170,"RP",0.7,12,0.0842353836289587,2883.07754288725
"llog",0.525077705492996,3.57970914733316,0,"relative convergence (4)",641.958327825376,642.09315928605,92,"RP",0.9,12,0.0694356928193316,1472.18552982829
"weibull",1.86222404762273,45.1279460421381,0,"relative convergence (4)",1298.5715151141,1298.65484844743,147,"FULL",0.4,13,0.987728517311487,372.065799011558
"llog",0.454041930473954,3.72150856369961,0,"relative convergence (4)",759.595041876898,759.741383340313,85,"FULL",0.6,13,0.875032955503723,161.898664245296
"gamma",2.23403594820105,0.0553338248778222,0,"relative convergence (4)",1318.40402823144,1318.46924562275,187,"RP",0.7,13,0.0663457494002274,4026.52558088283
"llog",0.471626961722978,3.37105461179891,0,"relative convergence (4)",625.162693526582,625.296026859916,93,"RP",0.9,13,0.0783453041617468,1318.94737583758
"llog",0.498447748720985,3.62500464077076,0,"relative convergence (4)",1323.69258424454,1323.77477602536,149,"FULL",0.4,14,0.877227777774598,424.633156219676
"gamma",2.12671882703934,0.0526752917977695,0,"relative convergence (4)",833.521341850198,833.653209982066,94,"FULL",0.6,14,0.961477111087457,162.943729871502
"gamma",2.35109125816247,0.0684925468582159,0,"relative convergence (4)",1298.01296275663,1298.07782762149,188,"RP",0.7,14,0.0777694844338539,3453.42945920979
"weibull",1.89113263204243,36.8070701189941,0,"relative convergence (4)",714.138363304936,714.259575426148,102,"RP",0.9,14,0.0750015992108508,1511.078890661
"llog",0.496416406324598,3.75194467024333,0,"relative convergence (4)",1290.5029598466,1290.58806622958,144,"FULL",0.4,15,0.847970307914571,424.543166948091
"llog",0.515344724969224,3.44011872559815,0,"relative convergence (4)",807.930176983304,808.065008443978,92,"FULL",0.6,15,0.905571438974416,169.322183467919
"gamma",2.0660137776449,0.0539208171819763,0,"relative convergence (4)",1144.00222712988,1144.07451628651,169,"RP",0.7,15,0.0784319808997183,3078.19040981838
"weibull",1.86162481669722,36.6232753687031,0,"relative convergence (4)",625.20954168798,625.347472722462,90,"RP",0.9,15,0.0773642866911945,1292.58607914473
"llog",0.548986794922927,3.63642868483294,0,"relative convergence (4)",1043.59504128485,1043.70030444275,117,"FULL",0.4,16,0.853784706362565,342.592222395453
