"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.439410256121207,3.52762705646629,0,"relative convergence (4)",431.230143337343,431.49101290256,49,"FULL",0.4,1,0.920725721878811,133.047222521414
"gamma",3.83744877361625,0.115578155705264,0,"relative convergence (4)",244.142238945553,244.603777407092,29,"FULL",0.6,1,0.99740033401959,48.4593113565009
"gamma",2.13758929793995,0.060189052132563,0,"relative convergence (4)",416.315444043285,416.525970359075,60,"RP",0.7,1,0.0831564305195061,1030.75955976946
"gamma",2.13196970829377,0.0549890293491551,0,"relative convergence (4)",285.320956227573,285.628648535266,42,"RP",0.9,1,0.0742574284628275,628.444421422801
"weibull",1.66862928426259,39.7844213921791,0,"relative convergence (4)",448.384540507954,448.634540507954,51,"FULL",0.4,2,0.990487192916377,128.724531636387
"gamma",2.70637060361266,0.0840053419510377,0,"relative convergence (4)",282.682015150481,283.082015150481,33,"FULL",0.6,2,0.993330352027467,55.3692936974498
"gamma",2.13745282612156,0.0426346992079265,0,"relative convergence (4)",630.543298930646,630.686156073503,87,"RP",0.7,2,0.0524948581247923,2367.57882058198
"gamma",2.11667859944533,0.0667125779921254,0,"relative convergence (4)",213.226561866002,213.626561866002,33,"RP",0.9,2,0.0976275635321877,375.576992194194
"gamma",1.73422618473225,0.0322438320737607,0,"relative convergence (4)",456.365951042625,456.621270191561,50,"FULL",0.4,3,0.875448028240874,142.784032823942
"gamma",1.78627683399008,0.0344292337926344,0,"relative convergence (4)",301.945424015427,302.345424015426,33,"FULL",0.6,3,0.889104963392744,61.8599628441224
"weibull",1.81737198638483,37.737718463466,0,"relative convergence (4)",514.631546269678,514.800560354185,74,"RP",0.7,3,0.0773474714924004,1366.74520413602
"gamma",2.84604929040284,0.0958933835100461,0,"relative convergence (4)",279.055980483884,279.363672791577,42,"RP",0.9,3,0.0771615199166387,604.791957404195
"llog",0.519214673169857,3.57126559591509,0,"relative convergence (4)",453.781701703055,454.031701703055,51,"FULL",0.4,4,0.879879058607912,144.906278598927
