"distn","param1","param2","code","message","aic","aicc","KS","n","rep","areaCorFULL","areaCorRP","plotType","piHat","mHat","AC","nHat"
"gamma",2.13556920284266,0.0610876634169336,0,"relative convergence (4)",4493.1558286093,4493.44851153613,0.0626386262880944,44,1,0.980613886085002,0.0850083506919174,"FULL",0.4,17.5,0.980613886085002,17.8459638888726
"gamma",2.13556920284266,0.0610876634169336,0,"relative convergence (4)",4493.1558286093,4493.44851153613,0.0626386262880944,44,1,0.980613886085002,0.0850083506919174,"FULL",0.6,11.6666666666667,0.980613886085002,11.8973092592484
"gamma",2.13556920284266,0.0610876634169336,0,"relative convergence (4)",4493.1558286093,4493.44851153613,0.0626386262880944,44,1,0.980613886085002,0.0850083506919174,"RP",0.7,32.8571428571429,0.0850083506919174,386.516649125707
"gamma",2.13556920284266,0.0610876634169336,0,"relative convergence (4)",4493.1558286093,4493.44851153613,0.0626386262880944,44,1,0.980613886085002,0.0850083506919174,"RP",0.9,7.77777777777778,0.0850083506919174,91.4942792616407
"llog",0.481738826322193,3.3038874574724,0,"both X-convergence and relative convergence (5)",4579.19640135586,4579.43640135586,0.170122287912557,53,2,0.937098616525581,0.0885981495731382,"FULL",0.4,47.5,0.937098616525581,50.6883685050274
"llog",0.481738826322193,3.3038874574724,0,"both X-convergence and relative convergence (5)",4579.19640135586,4579.43640135586,0.170122287912557,53,2,0.937098616525581,0.0885981495731382,"FULL",0.6,16.6666666666667,0.937098616525581,17.7853924579043
"llog",0.481738826322193,3.3038874574724,0,"both X-convergence and relative convergence (5)",4579.19640135586,4579.43640135586,0.170122287912557,53,2,0.937098616525581,0.0885981495731382,"RP",0.7,20,0.0885981495731382,225.738348897342
"llog",0.481738826322193,3.3038874574724,0,"both X-convergence and relative convergence (5)",4579.19640135586,4579.43640135586,0.170122287912557,53,2,0.937098616525581,0.0885981495731382,"RP",0.9,11.1111111111111,0.0885981495731382,125.410193831857
"weibull",2.07547979779024,36.4861492914063,0,"relative convergence (4)",2139.26169982702,2139.62533619066,0.178620524345093,36,3,0.999698208081819,0.0657635140217082,"FULL",0.4,32.5,0.999698208081819,32.5098111982812
"weibull",2.07547979779024,36.4861492914063,0,"relative convergence (4)",2139.26169982702,2139.62533619066,0.178620524345093,36,3,0.999698208081819,0.0657635140217082,"FULL",0.6,13.3333333333333,0.999698208081819,13.3373584403205
"weibull",2.07547979779024,36.4861492914063,0,"relative convergence (4)",2139.26169982702,2139.62533619066,0.178620524345093,36,3,0.999698208081819,0.0657635140217082,"RP",0.7,10,0.0657635140217082,152.060000879805
"weibull",2.07547979779024,36.4861492914063,0,"relative convergence (4)",2139.26169982702,2139.62533619066,0.178620524345093,36,3,0.999698208081819,0.0657635140217082,"RP",0.9,8.88888888888889,0.0657635140217082,135.164445226493
"weibull",2.24226887393494,47.2712188951563,0,"relative convergence (4)",8419.32188720961,8419.57720635855,0.0196359384274784,50,4,0.995326683502418,0.0419365805440763,"FULL",0.4,25,0.995326683502418,25.1173814732148
"weibull",2.24226887393494,47.2712188951563,0,"relative convergence (4)",8419.32188720961,8419.57720635855,0.0196359384274784,50,4,0.995326683502418,0.0419365805440763,"FULL",0.6,13.3333333333333,0.995326683502418,13.3959367857146
