"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.428360111021302,3.56914209443475,0,"relative convergence (4)",1096.54403330523,1096.64239396097,125,"FULL",0.4,1,0.918234050657261,340.327174511026
"llog",0.414492785245687,3.5511880292663,0,"relative convergence (4)",769.013104090911,769.154280561499,88,"FULL",0.6,1,0.927089935514362,158.201120569057
"llog",0.38049674932175,3.47373235781906,0,"relative convergence (4)",958.458019537661,958.55479373121,127,"RP",0.7,1,0.0504949413194101,3593.0048968852
"llog",0.336951711405412,3.44026156638787,0,"relative convergence (4)",473.830900851522,474.037797403246,61,"RP",0.9,1,0.0459613203531899,1474.66994544411
"llog",0.441794943965188,3.52544912724571,0,"relative convergence (4)",1172.71489457239,1172.80649762583,134,"FULL",0.4,2,0.920117284134421,364.084020348714
"norm",33.9466891088274,19.102897280352,0,"relative convergence (4)",794.886003855842,795.019337189175,93,"FULL",0.6,2,0.961947160992446,161.131511464814
"llog",0.375293642538771,3.55266620452155,0,"relative convergence (4)",841.352446815981,841.467831431366,107,"RP",0.7,2,0.0445391260045687,3431.9744586246
"gamma",3.37392976601745,0.102831650546037,0,"relative convergence (4)",425.712248714388,425.93447093661,57,"RP",0.9,2,0.055934058133185,1132.28568509243
"llog",0.415767922348354,3.50449720270319,0,"relative convergence (4)",1128.95457107545,1129.04905926443,130,"FULL",0.4,3,0.933845951791179,348.023139551688
"gamma",2.80653627150155,0.0740461859818497,0,"relative convergence (4)",748.882711823112,749.027290136365,86,"FULL",0.6,3,0.982939330568568,145.821139592028
"llog",0.385223055808651,3.48158158275202,0,"relative convergence (4)",1019.50657685524,1019.59960011106,132,"RP",0.7,3,0.050728625025931,3717.25881541312
"gamma",3.84132324323068,0.137464034803353,0,"relative convergence (4)",432.803861208908,433.014387524698,60,"RP",0.9,3,0.0626606584634318,1063.93179231547
"llog",0.38091295847634,3.51840897643513,0,"relative convergence (4)",1149.19424479424,1149.28655248655,133,"FULL",0.4,4,0.945475787956804,351.674790867507
"weibull",1.9130040917685,43.2638307623876,0,"relative convergence (4)",674.767598213059,674.929760375221,77,"FULL",0.6,4,0.993036011892751,129.233312585237
