"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",2.43079454220719,0.0703021108291568,0,"relative convergence (4)",451.190991231567,451.435889190751,52,"FULL",0.4,1,0.986187633295858,131.820756629788
"gamma",3.03275495536489,0.0784870704417729,0,"relative convergence (4)",306.789928233835,307.164928233835,35,"FULL",0.6,1,0.98386859881011,59.2897602422535
"llog",0.364947449005244,3.43448499647821,0,"relative convergence (4)",378.178886726612,378.43975629183,49,"RP",0.7,1,0.0506752539590967,1381.34482871071
"llog",0.367433779624746,3.3117545486508,0,"relative convergence (4)",162.787161181595,163.453827848262,21,"RP",0.9,1,0.0608030335234369,383.752783063683
"llog",0.410316762201522,3.57872893462728,0,"relative convergence (4)",501.754830302436,501.977052524658,57,"FULL",0.4,2,0.924252688015125,154.178615705219
"llog",0.333043004512033,3.43111935946211,0,"relative convergence (4)",289.586137950881,289.973234725074,34,"FULL",0.6,2,0.971396979629678,58.3352304515807
"gamma",3.78444255876312,0.126959707504418,0,"relative convergence (4)",353.954300238197,354.220966904863,48,"RP",0.7,2,0.0577103511825496,1188.19981452761
"gamma",2.39852614748226,0.0623560317738842,0,"relative convergence (4)",240.687727875487,241.087727875487,33,"RP",0.9,2,0.0649487738619923,564.547480828177
"gamma",2.46125549236193,0.0504712620944126,0,"relative convergence (4)",451.151384065594,451.40670321453,50,"FULL",0.4,3,0.930507761794055,134.335257729603
"llog",0.260808226709981,3.72354460082718,0,"relative convergence (4)",326.16019905456,326.503056197417,38,"FULL",0.6,3,0.967085052804226,65.4888969172749
"gamma",3.45436339627547,0.0915934301032504,0,"relative convergence (4)",329.788346555822,330.096038863514,42,"RP",0.7,3,0.0449185509595119,1335.75101418748
"weibull",1.99912495899732,33.3901111599491,0,"relative convergence (4)",115.253024772905,116.176101695982,16,"RP",0.9,3,0.0781867736543309,227.375768904016
"llog",0.493665909741749,3.61478163319402,0,"relative convergence (4)",561.451573441463,561.651573441463,63,"FULL",0.4,4,0.881445657143733,178.683732483711
"gamma",2.69132301909016,0.0563748906452891,0,"relative convergence (4)",306.761897974072,307.148994748266,34,"FULL",0.6,4,0.942233312458181,60.1408015588302
