"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",3.40365100070883,0.0772331133497283,0,"relative convergence (4)",126.517377096353,127.608286187262,14,"FULL",0.4,1,0.97242071129473,35.9926517334243
"llog",0.458849785836429,3.68287684610484,0,"relative convergence (4)",83.8300939883424,85.8300939883424,9,"FULL",0.6,1,0.881844218980432,17.009807035241
"weibull",2.44835804274464,35.0738808808766,0,"relative convergence (4)",105.498533691222,106.589442782131,14,"RP",0.7,1,0.0548807279097618,364.426653248572
"gamma",5.58734023194799,0.391708894488282,0,"relative convergence (4)",40.6080870948894,43.6080870948894,7,"RP",0.9,1,0.150069657012184,51.8277840612797
"norm",40.3405964097686,17.8135224767308,0,"relative convergence (4)",131.464444902397,132.464444902397,15,"FULL",0.4,2,0.987826181059108,37.9621442709627
"gamma",3.36776273089196,0.0836583675663158,0,"relative convergence (4)",90.5284604161673,92.242746130453,10,"FULL",0.6,2,0.983563987974704,16.9451778129714
"gamma",3.44879051470642,0.124599124128946,0,"relative convergence (4)",82.1922967643089,83.6922967643089,11,"RP",0.7,2,0.070363466312527,223.330181666847
"norm",18.1652188502049,6.84418524090738,0,"relative convergence (4)",42.7598269400446,46.7598269400446,6,"RP",0.9,2,0.0966995024450048,68.9420989571084
"weibull",1.89101119279321,41.4422274797458,0,"relative convergence (4)",125.457932641023,126.548841731932,14,"FULL",0.4,3,0.994956011689117,35.1774345687717
"gamma",13.5011404473811,0.37954943296376,0,"relative convergence (4)",55.295053968116,58.295053968116,7,"FULL",0.6,3,0.999998448869243,11.6666847632202
"gamma",5.08522786151291,0.250549902401716,0,"relative convergence (4)",71.8824552830239,73.3824552830239,11,"RP",0.7,3,0.0824106405784955,190.682727424233
"llog",0.389567105962613,3.80512965290187,0,"relative convergence (4)",78.3692842816938,80.3692842816938,9,"RP",0.9,3,0.0331281221577642,301.85834115129
"gamma",4.04489834280533,0.123033975823654,0,"relative convergence (4)",94.4837321541897,95.9837321541897,11,"FULL",0.4,4,0.998075785301607,27.5530179220707
"norm",32.7295958375029,18.7050810318396,0,"relative convergence (4)",88.5370644611244,90.2513501754101,10,"FULL",0.6,4,0.959759679998048,17.3654582641986
"llog",0.297109155219935,3.22173926218498,0,"relative convergence (4)",77.6128878763311,79.3271735906168,10,"RP",0.7,4,0.0545344772977324,261.95748072767
"weibull",3.8837194078371,26.4504710156409,0,"relative convergence (4)",50.0477205659294,53.0477205659294,7,"RP",0.9,4,0.0495429252434658,156.990685139319
"norm",44.9593616758826,20.979102388125,0,"relative convergence (4)",100.378186011068,101.878186011068,11,"FULL",0.4,5,0.979595265441929,28.0728184079103
"llog",0.548962106745282,3.94007467502798,0,"relative convergence (4)",49.2832716276918,55.2832716276918,5,"FULL",0.6,5,0.770573240310799,10.8144598039405
"weibull",2.92970009850426,25.8841469597405,0,"relative convergence (4)",112.819734173556,113.742811096632,16,"RP",0.7,5,0.066319228319778,344.653329603449
"weibull",2.66405993050383,25.9237043200335,0,"relative convergence (4)",90.3442516361384,91.5442516361384,13,"RP",0.9,5,0.074311231577094,194.377675324343
"llog",0.456767385545522,3.62272751210688,0,"both X-convergence and relative convergence (5)",101.060337889391,102.560337889391,11,"FULL",0.4,6,0.895749108178229,30.7005608478131
"llog",0.696955013282663,11.5589232616612,0,"X-convergence (3)",73.7582308677975,76.1582308677975,8,"FULL",0.6,6,4.64385502540482e-05,287117.777372282
"weibull",3.18160691205269,24.1189777475536,0,"relative convergence (4)",70.9429323558956,72.6572180701813,10,"RP",0.7,6,0.0665343052235062,214.712008154663
"weibull",3.35045879459399,25.397586119843,0,"relative convergence (4)",40.1784915181535,46.1784915181535,5,"RP",0.9,6,0.0588477528065267,94.4055684474565
"llog",0.378110416952785,3.54507725070279,0,"relative convergence (4)",142.187355327806,143.110432250882,16,"FULL",0.4,7,0.942873266889752,42.4235169292132
"gamma",2.22131002769191,0.0499516482339584,0,"relative convergence (4)",84.1071926599563,86.1071926599563,9,"FULL",0.6,7,0.945688854260169,15.8614537248986
"gamma",2.82147808349373,0.0567511467612478,0,"relative convergence (4)",130.590166427783,131.51324335086,16,"RP",0.7,7,0.037599458713075,607.911487012828
"weibull",1.9805078486154,27.1200918135158,0,"relative convergence (4)",36.1128760388869,42.1128760388869,5,"RP",0.9,7,0.104456094660494,53.1855567988864
"llog",0.41830589532458,3.46825501292345,0,"relative convergence (4)",151.960929246642,152.818072103785,17,"FULL",0.4,8,0.938074875090467,45.3055519644968
"llog",0.793142308665858,12.4688664210811,0,"X-convergence (3)",47.9875858938542,53.9875858938542,5,"FULL",0.6,8,4.94445408267024e-05,168538.997308939
"weibull",2.45095789688169,27.9937976917308,0,"relative convergence (4)",84.828443010731,86.1617763440643,12,"RP",0.7,8,0.0743761677951944,230.488577874333
"weibull",2.68537130181931,28.9386094358929,0,"relative convergence (4)",87.493974912659,88.8273082459923,12,"RP",0.9,8,0.063192455190646,210.995652773861
"llog",0.318871848697207,3.45262303874306,0,"relative convergence (4)",113.26398252286,114.46398252286,13,"FULL",0.4,9,0.973774626454894,33.3752791632279
"gamma",11.5406175397217,0.334508936355689,0,"relative convergence (4)",63.3187083488742,65.7187083488742,8,"FULL",0.6,9,0.999996203024444,13.3333839598663
"weibull",3.12795392430243,25.8427559295625,0,"relative convergence (4)",63.7189868130145,65.7189868130145,9,"RP",0.7,9,0.0617582579903906,208.184998662744
"weibull",2.29191377599266,42.2074464077373,0,"relative convergence (4)",66.7375851793111,69.1375851793111,8,"RP",0.9,9,0.0470647401966246,188.865143029651
"gamma",3.92492583631649,0.0804902295164617,0,"relative convergence (4)",170.846404096337,171.596404096337,19,"FULL",0.4,10,0.961941606621264,49.3792966985175
"gamma",4.43664015382276,0.147205140329858,0,"relative convergence (4)",83.9295336508048,85.6438193650905,10,"FULL",0.6,10,0.999500088900851,16.6750026855875
"gamma",4.69414170242039,0.145722498234423,0,"relative convergence (4)",102.496365066027,103.696365066027,13,"RP",0.7,10,0.0436147306060312,425.806334542863
"weibull",3.34667287868346,28.4347495681092,0,"relative convergence (4)",37.5748233371895,43.5748233371895,5,"RP",0.9,10,0.0512043869040877,108.497648179282
