"distn","param1","param2","code","message","aic","aicc","KS","n","rep","areaCorFULL","areaCorRP","plotType","piHat","mHat","AC","nHat"
"weibull",2.43221915384762,35.5808829520726,0,"relative convergence (4)",3544.471616615,3544.76429954183,0.291409366068337,44,1,0.999995654501055,0.0543165971345631,"FULL",0.4,35,0.999995654501055,35.000152093124
"weibull",2.43221915384762,35.5808829520726,0,"relative convergence (4)",3544.471616615,3544.76429954183,0.291409366068337,44,1,0.999995654501055,0.0543165971345631,"FULL",0.6,15,0.999995654501055,15.0000651827674
"weibull",2.43221915384762,35.5808829520726,0,"relative convergence (4)",3544.471616615,3544.76429954183,0.291409366068337,44,1,0.999995654501055,0.0543165971345631,"RP",0.7,20,0.0543165971345631,368.211579058466
"weibull",2.43221915384762,35.5808829520726,0,"relative convergence (4)",3544.471616615,3544.76429954183,0.291409366068337,44,1,0.999995654501055,0.0543165971345631,"RP",0.9,7.77777777777778,0.0543165971345631,143.19339185607
"weibull",1.85088472558136,33.4217000453155,0,"relative convergence (4)",2867.96245915733,2868.27015146502,0.0982663111832368,42,2,0.999500901952885,0.0877566978247726,"FULL",0.4,37.5,0.999500901952885,37.5187255226386
"weibull",1.85088472558136,33.4217000453155,0,"relative convergence (4)",2867.96245915733,2868.27015146502,0.0982663111832368,42,2,0.999500901952885,0.0877566978247726,"FULL",0.6,16.6666666666667,0.999500901952885,16.6749891211727
"weibull",1.85088472558136,33.4217000453155,0,"relative convergence (4)",2867.96245915733,2868.27015146502,0.0982663111832368,42,2,0.999500901952885,0.0877566978247726,"RP",0.7,15.7142857142857,0.0877566978247726,179.066511204228
"weibull",1.85088472558136,33.4217000453155,0,"relative convergence (4)",2867.96245915733,2868.27015146502,0.0982663111832368,42,2,0.999500901952885,0.0877566978247726,"RP",0.9,6.66666666666667,0.0877566978247726,75.967610813915
"gamma",2.5527634442487,0.0662180679599495,0,"relative convergence (4)",4254.41462586567,4254.73041533936,0.0794969428905814,41,3,0.977256203838683,0.0601096859931992,"FULL",0.4,35,0.977256203838683,35.8145590301901
"gamma",2.5527634442487,0.0662180679599495,0,"relative convergence (4)",4254.41462586567,4254.73041533936,0.0794969428905814,41,3,0.977256203838683,0.0601096859931992,"FULL",0.6,11.6666666666667,0.977256203838683,11.9381863433967
"gamma",2.5527634442487,0.0662180679599495,0,"relative convergence (4)",4254.41462586567,4254.73041533936,0.0794969428905814,41,3,0.977256203838683,0.0601096859931992,"RP",0.7,15.7142857142857,0.0601096859931992,261.426847514453
"gamma",2.5527634442487,0.0662180679599495,0,"relative convergence (4)",4254.41462586567,4254.73041533936,0.0794969428905814,41,3,0.977256203838683,0.0601096859931992,"RP",0.9,10,0.0601096859931992,166.362539327379
"gamma",3.50107042742382,0.106692919708146,0,"relative convergence (4)",3751.57914129654,3751.9219984394,0.0580866366509716,38,4,0.996695107651635,0.0539622566143885,"FULL",0.4,27.5,0.996695107651635,27.5911858991604
"gamma",3.50107042742382,0.106692919708146,0,"relative convergence (4)",3751.57914129654,3751.9219984394,0.0580866366509716,38,4,0.996695107651635,0.0539622566143885,"FULL",0.6,16.6666666666667,0.996695107651635,16.721930847976
"gamma",3.50107042742382,0.106692919708146,0,"relative convergence (4)",3751.57914129654,3751.9219984394,0.0580866366509716,38,4,0.996695107651635,0.0539622566143885,"RP",0.7,14.2857142857143,0.0539622566143885,264.735301709105
"gamma",3.50107042742382,0.106692919708146,0,"relative convergence (4)",3751.57914129654,3751.9219984394,0.0580866366509716,38,4,0.996695107651635,0.0539622566143885,"RP",0.9,7.77777777777778,0.0539622566143885,144.133664263846
"llog",0.233452611497108,3.19117338120423,0,"relative convergence (4)",4038.11547591656,4038.40119020227,0.161999631545745,45,5,0.997663798609961,0.0467414058318647,"FULL",0.4,27.5,0.997663798609961,27.5643959802045
"llog",0.233452611497108,3.19117338120423,0,"relative convergence (4)",4038.11547591656,4038.40119020227,0.161999631545745,45,5,0.997663798609961,0.0467414058318647,"FULL",0.6,8.33333333333333,0.997663798609961,8.35284726672865
"llog",0.233452611497108,3.19117338120423,0,"relative convergence (4)",4038.11547591656,4038.40119020227,0.161999631545745,45,5,0.997663798609961,0.0467414058318647,"RP",0.7,22.8571428571429,0.0467414058318647,489.012738285262
"llog",0.233452611497108,3.19117338120423,0,"relative convergence (4)",4038.11547591656,4038.40119020227,0.161999631545745,45,5,0.997663798609961,0.0467414058318647,"RP",0.9,14.4444444444444,0.0467414058318647,309.028883221936
"llog",0.223145692956926,3.11047777456872,0,"relative convergence (4)",2576.30975328869,2576.69685006289,0.0705824504478419,34,6,0.998768488036434,0.0499715322019693,"FULL",0.4,27.5,0.998768488036434,27.5339083375214
"llog",0.223145692956926,3.11047777456872,0,"relative convergence (4)",2576.30975328869,2576.69685006289,0.0705824504478419,34,6,0.998768488036434,0.0499715322019693,"FULL",0.6,13.3333333333333,0.998768488036434,13.3497737394043
