"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",2.59823656952893,0.0557545820962911,0,"relative convergence (4)",1267.43299014082,1267.51932107608,142,"FULL",0.4,1,0.94557246472615,375.433944243303
"norm",34.740137382311,38.8564360658755,0,"relative convergence (4)",759.69240499774,759.84240499774,83,"FULL",0.6,1,0.767830031670175,180.161399824949
"gamma",1.5381438527769,0.0235046577465391,0,"relative convergence (4)",1243.71732661759,1243.78436572373,182,"RP",0.7,1,0.0607557531232474,4279.43012199308
"weibull",1.42394117858686,36.807772041182,0,"relative convergence (4)",728.982282546801,729.087545704696,117,"RP",0.9,1,0.116851353025795,1112.52455905498
"norm",35.2926872821218,27.2806930359577,0,"relative convergence (4)",1153.46514784227,1153.56038593751,129,"FULL",0.4,2,0.893265048595793,361.035059534645
"norm",31.2854673031502,33.4165615693421,0,"relative convergence (4)",751.113780959666,751.263780959666,83,"FULL",0.6,2,0.805544962814524,171.726396066093
"gamma",1.42910032177783,0.01459318091005,0,"relative convergence (4)",1455.55078898794,1455.60932557331,208,"RP",0.7,2,0.0425953732635401,6975.94208893103
"llog",0.761410715983823,5.17296016855692,0,"relative convergence (4)",751.898501429295,752.015006283664,106,"RP",0.9,2,0.0211371752831541,5572.06798921917
"norm",40.0053032126137,27.2386110179715,0,"relative convergence (4)",1286.32754156396,1286.41325584967,143,"FULL",0.4,3,0.91522982835921,390.612269096291
"norm",33.562087248228,35.2572613178614,0,"relative convergence (4)",728.393660250231,728.549504406075,80,"FULL",0.6,3,0.799674073111475,166.73459577668
"weibull",1.46378921440337,53.4450865182448,0,"relative convergence (4)",1383.62912826004,1383.68853420063,205,"RP",0.7,3,0.0730799627399697,4007.35210962239
"norm",26.6133277956911,51.8416935753238,0,"relative convergence (4)",655.718932820464,655.840144941677,102,"RP",0.9,3,0.0618825297446458,1831.42696009675
"norm",39.2942566183175,24.410840277375,0,"relative convergence (4)",1360.92815872947,1361.00815872947,153,"FULL",0.4,4,0.939824636219121,406.990820690531
"gamma",1.55172570588736,0.0322498288001976,0,"relative convergence (4)",750.184774722492,750.334774722492,83,"FULL",0.6,4,0.901554031084937,153.438760810444
"gamma",1.40726024151375,0.0189095330482207,0,"relative convergence (4)",1190.83263628089,1190.90043289106,180,"RP",0.7,4,0.0604076999587581,4256.78940463575
"weibull",1.36549764367206,46.1694666509413,0,"relative convergence (4)",618.285410724751,618.414442982815,96,"RP",0.9,4,0.0973016895090063,1096.24680933
