"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",2.08267687192761,0.0385017860866168,0,"relative convergence (4)",590.988614516465,591.182162903562,65,"FULL",0.4,1,0.886505961273111,183.303899915838
"norm",15.9917126846355,38.4154434613987,0,"relative convergence (4)",315.679859454347,316.054859454347,35,"FULL",0.6,1,0.647021455801317,90.1567217134851
"llog",0.652470988963265,3.80183250268445,0,"relative convergence (4)",385.295820571064,385.514002389245,58,"RP",0.7,1,0.0753397024732424,1099.78059558399
"norm",22.0966325888882,23.6642045693852,0,"relative convergence (4)",286.643543880696,286.916271153423,47,"RP",0.9,1,0.108876219945593,479.647642509251
"norm",36.0232489203748,24.5896924345199,0,"relative convergence (4)",454.320782408974,454.570782408974,51,"FULL",0.4,2,0.923898745745153,138.00213560975
"gamma",2.72900981320712,0.054062988710882,0,"relative convergence (4)",254.222922744968,254.702922744968,28,"FULL",0.6,2,0.928515692536965,50.259426999193
"llog",0.714474253617558,4.20786430870184,0,"relative convergence (4)",481.745686233862,481.919599277341,72,"RP",0.7,2,0.0557553548768992,1844.79397690569
"weibull",1.3251676938092,40.3950977126694,0,"relative convergence (4)",242.55207364568,242.894930788537,38,"RP",0.9,2,0.117920087345561,358.057928658851
"weibull",1.59781496338499,42.8515497010485,0,"relative convergence (4)",516.970367887642,517.188549705824,58,"FULL",0.4,3,0.979204461373302,148.079390688889
"norm",26.0258576067908,32.3023266970197,0,"relative convergence (4)",333.464486996821,333.817428173292,37,"FULL",0.6,3,0.778781910862121,79.1834861680351
"norm",28.6425661585488,17.1743812162759,0,"relative convergence (4)",414.027860074621,414.234756626346,61,"RP",0.7,3,0.0858839880275102,1014.65778597687
"weibull",1.55543495540163,44.8856003674424,0,"X-convergence (3)",275.469481673373,275.793805997698,40,"RP",0.9,3,0.0807152451027685,550.63258976488
"norm",36.6232303422297,26.2811916032255,0,"relative convergence (4)",404.436623942137,404.722338227852,45,"FULL",0.4,4,0.910324124315879,123.582355992757
"norm",30.9843629708637,24.1213474268028,0,"relative convergence (4)",317.872984730948,318.236621094584,36,"FULL",0.6,4,0.89840973216794,66.7846727964699
"gamma",1.36159298026426,0.0212534837158706,0,"relative convergence (4)",551.062533614627,551.212533614627,83,"RP",0.7,4,0.0753983975768798,1572.59878700376
"norm",29.8635353095704,21.6502034869829,0,"relative convergence (4)",285.078681284723,285.378681284723,43,"RP",0.9,4,0.0872562191235577,547.557277380113
"gamma",3.48596418379632,0.0669164039927645,0,"relative convergence (4)",438.828571122787,439.089440688004,49,"FULL",0.4,5,0.937558621680119,130.658496618034
"llog",0.391916420625098,3.53204118570432,0,"relative convergence (4)",315.357074395458,315.720710759094,36,"FULL",0.6,5,0.939241051783342,63.8813645188077
"llog",0.75858256625866,4.50327141603735,0,"relative convergence (4)",492.608714247504,492.780142818933,73,"RP",0.7,5,0.0453956626035339,2297.26163921211
"llog",0.574533887540673,3.51116304480649,0,"relative convergence (4)",207.728930070376,208.157501498947,31,"RP",0.9,5,0.0872725445473179,394.676752271949
"weibull",1.9284161108721,46.364023350103,0,"relative convergence (4)",479.926343991692,480.161638109339,54,"FULL",0.4,6,0.987758571785249,136.673073619604
"norm",23.7551348144566,43.0088150353135,0,"relative convergence (4)",312.163086907069,312.550183681263,34,"FULL",0.6,6,0.671506298937014,84.3873940666964
"weibull",1.4629056373815,51.1737444006233,0,"relative convergence (4)",545.477569979376,545.633414135221,80,"RP",0.7,6,0.0769491458805408,1485.21095299922
"norm",36.6600287069064,22.1642945944963,0,"relative convergence (4)",284.948481183698,285.281814517031,39,"RP",0.9,6,0.066555364375693,651.087012141117
"norm",35.5086779703382,26.5032597918607,0,"relative convergence (4)",555.16584094639,555.369230776898,62,"FULL",0.4,7,0.902362206066341,171.771378453105
"gamma",2.32285805651493,0.0529148569956634,0,"relative convergence (4)",288.153893061207,288.567686164655,32,"FULL",0.6,7,0.951269764722328,56.0654141561002
"norm",35.5682683186107,20.9430041255755,0,"relative convergence (4)",522.337925447794,522.506939532301,74,"RP",0.7,7,0.067659066011439,1562.45558719969
"llog",0.609918818803572,3.22842883030081,0,"relative convergence (4)",227.748798585638,228.091655728495,38,"RP",0.9,7,0.133856954160603,315.427931906799
"weibull",2.10992996876544,49.159264844544,0,"relative convergence (4)",515.100374515517,515.318556333699,58,"FULL",0.4,8,0.988597803126609,146.672387437452
"weibull",1.63433004979872,39.4943399445033,0,"relative convergence (4)",300.373520386752,300.760617160946,34,"FULL",0.6,8,0.98958513248516,57.2630537853361
"norm",41.257816974071,27.4996636358252,0,"relative convergence (4)",572.528151454851,572.686046191693,79,"RP",0.7,8,0.0615566791025822,1833.38582429163
"norm",33.7257974573839,29.6673808441024,0,"relative convergence (4)",235.04716622096,235.434262995153,34,"RP",0.9,8,0.0769508909289765,490.933598321111
"weibull",1.95043296038762,51.360644423305,0,"relative convergence (4)",566.35421713531,566.55421713531,63,"FULL",0.4,9,0.974465314222119,161.627097138626
"norm",28.0590953728378,15.7977150269335,0,"relative convergence (4)",280.362109835861,280.749206610055,34,"FULL",0.6,9,0.96214318394335,58.8962927892063
"weibull",1.61893038432934,40.770438584887,0,"X-convergence (3)",578.995384158783,579.149230312629,81,"RP",0.7,9,0.0847191755975346,1365.85707896871
"gamma",1.59836567875683,0.0256364987421778,0,"relative convergence (4)",327.20012347973,327.472850752457,47,"RP",0.9,9,0.0606351134174084,861.253806234808
"norm",41.5669841496762,27.1071942644608,0,"relative convergence (4)",479.862764305786,480.102764305786,53,"FULL",0.4,10,0.921858647530658,143.731363105311
"gamma",2.56278247663273,0.0593041684411465,0,"relative convergence (4)",322.194046733233,322.55768309687,36,"FULL",0.6,10,0.960283169902546,62.4815698957726
"gamma",1.82810265438593,0.0386270755464308,0,"relative convergence (4)",521.409751872605,521.576418539272,75,"RP",0.7,10,0.07012646612345,1527.85193758721
"llog",0.557569760335825,3.19078352128604,0,"relative convergence (4)",294.426518755999,294.699246028726,47,"RP",0.9,10,0.125181059540234,417.17351182379
"norm",27.5776612151517,37.113914707076,0,"relative convergence (4)",545.319826733499,545.530353049288,60,"FULL",0.4,11,0.745768106211979,201.134908761255
"norm",33.8830689121073,27.6119722092628,0,"relative convergence (4)",324.384691607899,324.748327971535,36,"FULL",0.6,11,0.881788869894772,68.0434989014548
"weibull",1.38388147141135,40.239612510789,0,"relative convergence (4)",444.764992530556,444.946810712375,69,"RP",0.7,11,0.110692512787872,890.497704757397
"norm",33.6826992830957,18.2889370365787,0,"relative convergence (4)",314.352346252785,314.645029179614,44,"RP",0.9,11,0.0678306142593549,720.749611701273
"norm",31.4466459332421,23.5834068003719,0,"relative convergence (4)",517.532217228259,517.746502942544,59,"FULL",0.4,12,0.906977949449649,162.627989015061
"norm",51.6029396236604,33.4394262831411,0,"relative convergence (4)",304.820848987642,305.220848987642,33,"FULL",0.6,12,0.864700319987123,63.6058513321922
"gamma",1.58195738886385,0.0178896662066642,0,"both X-convergence and relative convergence (5)",638.262429149638,638.408770613053,85,"RP",0.7,12,0.0400006971451073,3035.66137830235
"gamma",1.90672348312532,0.0484051202835016,0,"relative convergence (4)",318.148246695,318.420973967727,47,"RP",0.9,12,0.083691640881815,623.983729700888
"norm",47.0491737921889,23.9379317895135,0,"relative convergence (4)",387.273579157611,387.573579157611,43,"FULL",0.4,13,0.961836637067958,111.765341282591
"norm",48.667339927935,21.2680748100033,0,"relative convergence (4)",258.988757243852,259.450295705391,29,"FULL",0.6,13,0.981041569438847,49.2673652564793
"weibull",1.4561210364589,46.6668438273004,0,"relative convergence (4)",466.254282930462,466.430753518697,71,"RP",0.7,13,0.0862726384132071,1175.67485235324
"llog",0.59178610878848,3.35823926650031,0,"relative convergence (4)",233.294428630639,233.64736980711,37,"RP",0.9,13,0.110120965338022,373.32683186093
"norm",27.4500776359096,45.4909036692909,0,"relative convergence (4)",505.155864484798,505.386633715567,55,"FULL",0.4,14,0.671509068890465,204.762685077644
"norm",44.6101517556995,27.2679864140933,0,"relative convergence (4)",373.175669997081,373.491459470766,41,"FULL",0.6,14,0.927967589245634,73.6376292935867
"weibull",1.37934508365093,60.411180173563,0,"relative convergence (4)",473.454000313565,473.641500313565,67,"RP",0.7,14,0.0707838364614303,1352.20539743476
"gamma",1.22096570859121,0.0161172472959796,0,"relative convergence (4)",209.843078682269,210.230175456462,34,"RP",0.9,14,0.0749430173126743,504.086693229375
"norm",30.4369335471582,35.1283797991229,0,"relative convergence (4)",554.305458583539,554.512355135263,61,"FULL",0.4,15,0.783040309382084,194.753703191016
"norm",25.6395276500137,30.1843937344609,0,"relative convergence (4)",269.13840475071,269.582849195155,30,"FULL",0.6,15,0.79530032921684,62.8693314502167
"llog",0.658181614068358,3.58930104317796,0,"relative convergence (4)",521.289999024662,521.441897758839,82,"RP",0.7,15,0.0978614592247362,1197.02749244564
"gamma",1.520522758685,0.0186845267762682,0,"relative convergence (4)",343.579285552384,343.845952219051,48,"RP",0.9,15,0.0475938257692783,1120.59353227619
"llog",0.794254723776162,4.31070787788831,0,"relative convergence (4)",468.714583035354,468.964583035354,51,"FULL",0.4,16,0.591637871260384,215.503445931179
"weibull",1.83660379742488,44.3122673726884,0,"relative convergence (4)",293.940706535693,294.340706535693,33,"FULL",0.6,16,0.988421069868695,55.644301479031
"norm",41.7068158888384,32.5235485040126,0,"relative convergence (4)",425.866859347447,426.070249177955,62,"RP",0.7,16,0.0627656451346377,1411.14503613299
