"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"norm",29.7684296577579,25.6326248103869,0,"relative convergence (4)",100.331440130688,101.831440130688,11,"FULL",0.4,1,0.874177427669881,31.4581446849997
"llog",0.666367361770082,4.18284251685442,0,"relative convergence (4)",76.9509010633147,79.3509010633147,8,"FULL",0.6,1,0.653345174535131,20.4077933885718
"gamma",1.80008748511222,0.0290420062731261,0,"relative convergence (4)",150.943217071887,151.609883738554,21,"RP",0.7,1,0.0508179529407451,590.34255147941
"llog",0.713723366717639,4.79850183727365,0,"relative convergence (4)",106.44973509826,107.540644189169,14,"RP",0.9,1,0.0277124663457594,561.319781555131
"norm",24.5429083282688,14.7151393012613,0,"relative convergence (4)",107.27289113212,108.47289113212,13,"FULL",0.4,2,0.952328875829022,34.1268660699888
"norm",36.2270160642452,13.5044829174342,0,"relative convergence (4)",68.0574700162016,70.4574700162016,8,"FULL",0.6,2,0.996346130172995,13.3822302607009
"llog",0.644891187364261,3.66612706913699,0,"relative convergence (4)",106.575074809391,107.432217666534,17,"RP",0.7,2,0.0866772379983877,280.185604047121
"gamma",1.41588621340248,1e-10,0,"relative convergence (4)",38.5062694954563,50.5062694954563,4,"RP",0.9,2,1.60224292801114e-13,27738892565819.2
"llog",1.07017297919842,3.4909832776395,0,"relative convergence (4)",148.959581753111,149.816724610254,17,"FULL",0.4,3,0.739067569644358,57.5048909539505
"norm",36.2079168509386,16.6310684554558,0,"relative convergence (4)",54.0833695772345,58.0833695772345,6,"FULL",0.6,3,0.985201784153833,10.1502049233384
"norm",34.0477036535358,19.4480174836487,0,"relative convergence (4)",95.7716005643749,96.9716005643749,13,"RP",0.7,3,0.0695114283131164,267.170867037475
"gamma",2.12555603869141,0.0759056903763828,0,"relative convergence (4)",86.346838865387,87.4377479562961,14,"RP",0.9,3,0.114517321545461,135.835831170574
"gamma",0.883364818459837,0.0100571992715393,0,"relative convergence (4)",112.516631262194,113.849964595527,12,"FULL",0.4,4,0.684531655465506,43.8255846321657
"norm",19.4226199488586,38.6799146591542,0,"relative convergence (4)",57.730425028752,61.730425028752,6,"FULL",0.6,4,0.673597228969099,14.8456667722705
"weibull",1.69424129265804,46.907534478843,0,"relative convergence (4)",128.491631734068,129.348774591211,17,"RP",0.7,4,0.0661463597930353,367.15118355268
"norm",32.4221767231509,13.0677957584042,0,"relative convergence (4)",74.2237202747803,76.2237202747803,9,"RP",0.9,4,0.051971600796207,192.412776339378
"norm",26.1942585156706,31.3022802333637,0,"relative convergence (4)",128.326424668794,129.417333759703,14,"FULL",0.4,5,0.789461256669067,44.334031219814
NA,NA,NA,1,"false convergence (8)",95.9363066684831,97.6505923827688,10,"FULL",0.6,5,NA,NA
"gamma",2.11483651165887,0.0559374005025156,0,"relative convergence (4)",151.2324319492,151.8324319492,23,"RP",0.7,5,0.0775482293124211,423.699459658456
"norm",35.3877052395622,18.6885697151387,0,"relative convergence (4)",76.7263343124733,78.440620026759,10,"RP",0.9,5,0.0629088505900061,176.622383128969
