"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.638322961583704,3.88514425117499,0,"relative convergence (4)",1231.69237743506,1231.78260299897,136,"FULL",0.4,1,0.755468932653518,450.051597496909
"gamma",1.96456501726512,0.0380907728943671,0,"relative convergence (4)",824.502940844988,824.639304481352,91,"FULL",0.6,1,0.897748044094587,168.941238763297
"gamma",1.89740043954228,0.0397701114668173,0,"relative convergence (4)",1311.5627187845,1311.62829255499,186,"RP",0.7,1,0.0659543471375632,4028.76076022823
"llog",0.461398698592275,3.5648176965023,0,"relative convergence (4)",621.457622427859,621.602200741112,86,"RP",0.9,1,0.0580406510447638,1646.35568063939
"weibull",1.5949564927161,48.8529905956217,0,"relative convergence (4)",1268.56931182782,1268.65626834956,141,"FULL",0.4,2,0.956490048756483,368.53493714679
"gamma",1.45311577885025,0.0248779665584482,0,"relative convergence (4)",830.211835516189,830.348199152553,91,"FULL",0.6,2,0.836154628997992,181.385908068723
"llog",0.596107201668844,3.93684239943082,0,"relative convergence (4)",1211.96811001741,1212.03828545601,174,"RP",0.7,2,0.0543625038985404,4572.47938828113
"llog",0.564265283699043,3.86231249402414,0,"X-convergence (3)",637.366645739284,637.504576773767,90,"RP",0.9,2,0.0541556286763707,1846.53012889189
"llog",0.644835219909092,4.12376958681955,0,"relative convergence (4)",1323.7530529755,1323.83756001775,145,"FULL",0.4,3,0.67842611345994,534.324951248218
"gamma",1.74082675762418,0.0361101720423724,0,"both X-convergence and relative convergence (5)",777.12982614033,777.274404453583,86,"FULL",0.6,3,0.908922684116609,157.69584788462
"gamma",1.79876010162604,0.0386694044229415,0,"relative convergence (4)",1102.34663247026,1102.42163247026,163,"RP",0.7,3,0.0732713475098973,3178.01092474366
"gamma",2.26809171282578,0.0466837413011703,0,"relative convergence (4)",701.503127555209,701.637959015884,92,"RP",0.9,3,0.050619866105462,2019.40917838959
"gamma",2.14499056536961,0.0417645030923891,0,"both X-convergence and relative convergence (5)",1120.1636836032,1120.26285715692,124,"FULL",0.4,4,0.905483904456038,342.358377078199
"weibull",1.80204669026494,43.6224847078737,0,"relative convergence (4)",812.890965831579,813.025797292253,92,"FULL",0.6,4,0.988428588847562,155.128387688694
"gamma",1.71523916604902,0.0339628850387273,0,"relative convergence (4)",1185.15069575187,1185.2221243233,171,"RP",0.7,4,0.0706736457568712,3456.53194581325
