"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.698149067850728,4.19621535710702,0,"relative convergence (4)",568.961290261638,569.164680092147,62,"FULL",0.4,1,0.642394016042906,241.28493748243
"gamma",1.86156270249897,0.0551803709253429,0,"relative convergence (4)",298.196192778339,298.583289552532,34,"FULL",0.6,1,0.97876481383,57.8961011531714
"weibull",1.85364481600516,32.4780950809161,0,"relative convergence (4)",470.713195789251,470.895013971069,69,"RP",0.7,1,0.0908363016226348,1085.15457818756
"weibull",1.39529211900545,59.2650911410177,0,"relative convergence (4)",225.468387255845,225.882180359293,32,"RP",0.9,1,0.0708072253575398,502.145866838001
"norm",36.5034104249918,22.4351542842052,0,"relative convergence (4)",528.601043789758,528.811570105547,60,"FULL",0.4,2,0.945812399422333,158.593818490447
"llog",0.647479258280319,3.88361929023304,0,"relative convergence (4)",247.652855688639,248.152855688639,27,"FULL",0.6,2,0.75294850009344,59.7650436841505
"llog",0.594612457278379,3.92398777572982,0,"relative convergence (4)",459.052681495462,459.246229882559,65,"RP",0.7,2,0.0549981020231581,1688.36995171294
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"gamma",2.42755479403842,0.0501989815684934,0,"relative convergence (4)",468.933311423341,469.178209382525,52,"FULL",0.4,3,0.931738647133893,139.524104103539
"norm",30.6986160876145,24.9377662025489,0,"relative convergence (4)",310.177275667749,310.552275667749,35,"FULL",0.6,3,0.888113710580611,65.6822799134555
"weibull",1.71691800256534,35.9741132538102,0,"relative convergence (4)",460.68110654425,460.862924726068,69,"RP",0.7,3,0.0898371752521821,1097.22315171563
"weibull",1.93903084418205,36.9301034331845,0,"relative convergence (4)",207.674681354313,208.136219815851,29,"RP",0.9,3,0.0718262168943732,448.61366246823
"norm",41.7115450367192,26.6627537338703,0,"relative convergence (4)",515.166801275031,515.389023497253,57,"FULL",0.4,4,0.926736874639712,153.765328540962
"llog",0.790157879743067,4.2983270693585,0,"relative convergence (4)",231.717371502122,232.262826047577,25,"FULL",0.6,4,0.59588095366123,69.9244814096793
"gamma",2.16694460931068,0.0477444197293097,0,"relative convergence (4)",425.546242700193,425.764424518375,58,"RP",0.7,4,0.0589272544187427,1406.09203117376
"gamma",1.7366762296388,0.0380416603969935,0,"relative convergence (4)",227.020375750944,227.395375750944,35,"RP",0.9,4,0.0786596450220532,494.394411238265
"gamma",2.1059456723152,0.0407831469882033,0,"relative convergence (4)",472.371626015267,472.616523974451,52,"FULL",0.4,5,0.90245405542963,144.051654727299
"llog",0.486206548499538,3.61856749061727,0,"relative convergence (4)",287.058829633446,287.472622736894,32,"FULL",0.6,5,0.883827351002102,60.3436104040715
"llog",0.603110210690854,3.73282290179846,0,"relative convergence (4)",439.304183384951,439.500904696427,64,"RP",0.7,5,0.071593798418294,1277.04596555124
"weibull",1.88363475950944,35.4092935289628,0,"relative convergence (4)",291.471951012622,291.779643320315,42,"RP",0.9,5,0.0793166683644717,588.358886334289
"weibull",2.03831737186776,48.1755390434891,0,"relative convergence (4)",383.330015795615,383.630015795615,43,"FULL",0.4,6,0.988097216817141,108.794962854241
"weibull",2.09637895660266,50.0484932427678,0,"relative convergence (4)",330.880926784153,331.233867960623,37,"FULL",0.6,6,0.985985537514245,62.5431756556325
"gamma",2.2267199134942,0.0655493638050544,0,"relative convergence (4)",325.28909413285,325.555760799517,48,"RP",0.7,6,0.0840680878243859,815.665377267423
"weibull",1.72963974500242,40.4441022177037,0,"relative convergence (4)",269.383612645014,269.707936969338,40,"RP",0.9,6,0.0767888345734064,578.787849709553
"llog",0.497099765278238,3.6362690493397,0,"relative convergence (4)",508.862777138726,509.084999360948,57,"FULL",0.4,7,0.875349347328583,162.792147426494
