"distn","param1","param2","code","message","aic","aicc","KS","n","rep","areaCorFULL","areaCorRP","plotType","piHat","mHat","AC","nHat"
"weibull",1.65648962772642,37.8524790462665,0,"relative convergence (4)",14650.929790771,14650.9916464411,0.0265282954613967,197,1,0.993255252157679,0.0893161468034978,"FULL",0.4,155,0.993255252157679,156.052534998721
"weibull",1.65648962772642,37.8524790462665,0,"relative convergence (4)",14650.929790771,14650.9916464411,0.0265282954613967,197,1,0.993255252157679,0.0893161468034978,"FULL",0.6,56.6666666666667,0.993255252157679,57.0514644081347
"weibull",1.65648962772642,37.8524790462665,0,"relative convergence (4)",14650.929790771,14650.9916464411,0.0265282954613967,197,1,0.993255252157679,0.0893161468034978,"RP",0.7,98.5714285714286,0.0893161468034978,1103.62383621735
"weibull",1.65648962772642,37.8524790462665,0,"relative convergence (4)",14650.929790771,14650.9916464411,0.0265282954613967,197,1,0.993255252157679,0.0893161468034978,"RP",0.9,35.5555555555556,0.0893161468034978,398.086536735406
"weibull",1.71291817628607,57.0069391115581,0,"relative convergence (4)",18852.4563253552,18852.5245071733,0.0852583521802625,179,2,0.927098076475713,0.0508272195030733,"FULL",0.4,150,0.927098076475713,161.795179826295
"weibull",1.71291817628607,57.0069391115581,0,"relative convergence (4)",18852.4563253552,18852.5245071733,0.0852583521802625,179,2,0.927098076475713,0.0508272195030733,"FULL",0.6,45,0.927098076475713,48.5385539478885
"weibull",1.71291817628607,57.0069391115581,0,"relative convergence (4)",18852.4563253552,18852.5245071733,0.0852583521802625,179,2,0.927098076475713,0.0508272195030733,"RP",0.7,92.8571428571429,0.0508272195030733,1826.91761943673
"weibull",1.71291817628607,57.0069391115581,0,"relative convergence (4)",18852.4563253552,18852.5245071733,0.0852583521802625,179,2,0.927098076475713,0.0508272195030733,"RP",0.9,30,0.0508272195030733,590.234923202636
"weibull",1.99481277948189,37.4805355824409,0,"relative convergence (4)",14215.4595173974,14215.5254514634,0.0243087478764877,185,3,0.99916020646392,0.0674373393319466,"FULL",0.4,130,0.99916020646392,130.109264919664
"weibull",1.99481277948189,37.4805355824409,0,"relative convergence (4)",14215.4595173974,14215.5254514634,0.0243087478764877,185,3,0.99916020646392,0.0674373393319466,"FULL",0.6,58.3333333333333,0.99916020646392,58.3823624639517
"weibull",1.99481277948189,37.4805355824409,0,"relative convergence (4)",14215.4595173974,14215.5254514634,0.0243087478764877,185,3,0.99916020646392,0.0674373393319466,"RP",0.7,98.5714285714286,0.0674373393319466,1461.67434166153
"weibull",1.99481277948189,37.4805355824409,0,"relative convergence (4)",14215.4595173974,14215.5254514634,0.0243087478764877,185,3,0.99916020646392,0.0674373393319466,"RP",0.9,32.2222222222222,0.0674373393319466,477.80980894894
"weibull",1.67271406678768,50.7587385067398,0,"relative convergence (4)",17740.4748211174,17740.5445885593,0.056442643839918,175,4,0.955346581507981,0.0613245821617439,"FULL",0.4,142.5,0.955346581507981,149.160527454935
"weibull",1.67271406678768,50.7587385067398,0,"relative convergence (4)",17740.4748211174,17740.5445885593,0.056442643839918,175,4,0.955346581507981,0.0613245821617439,"FULL",0.6,41.6666666666667,0.955346581507981,43.6141893143086
"weibull",1.67271406678768,50.7587385067398,0,"relative convergence (4)",17740.4748211174,17740.5445885593,0.056442643839918,175,4,0.955346581507981,0.0613245821617439,"RP",0.7,82.8571428571429,0.0613245821617439,1351.12445835516
"weibull",1.67271406678768,50.7587385067398,0,"relative convergence (4)",17740.4748211174,17740.5445885593,0.056442643839918,175,4,0.955346581507981,0.0613245821617439,"RP",0.9,38.8888888888889,0.0613245821617439,634.148452676273
"gamma",2.12703976586141,0.0572171178713782,0,"relative convergence (4)",16048.6032499189,16048.6674210419,0.0321531918437529,190,5,0.973526708855723,0.0787406777318857,"FULL",0.4,130,0.973526708855723,133.535113949571
"gamma",2.12703976586141,0.0572171178713782,0,"relative convergence (4)",16048.6032499189,16048.6674210419,0.0321531918437529,190,5,0.973526708855723,0.0787406777318857,"FULL",0.6,53.3333333333333,0.973526708855723,54.7836364921318
