"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"norm",43.4608026913307,27.5219156343933,0,"relative convergence (4)",148.054700351319,148.977777274396,16,"FULL",0.4,1,0.922875674109343,43.3427829145064
"weibull",3.49341551392797,49.1423278344122,0,"relative convergence (4)",61.9193528101598,64.9193528101598,7,"FULL",0.6,1,0.999993630031722,11.6667409834366
"norm",27.0614196978713,18.4138712458273,0,"relative convergence (4)",124.44036152013,125.19036152013,19,"RP",0.7,1,0.09542277679733,284.44841005315
"gamma",2.23460930628912,0.0695138621999478,0,"relative convergence (4)",83.3736709189403,84.5736709189404,13,"RP",0.9,1,0.0901817097477076,160.170443484097
"weibull",2.09052201520286,36.994304169052,0,"relative convergence (4)",129.323449747684,130.323449747684,15,"FULL",0.4,2,0.999662887562581,37.5126459795202
"gamma",2.36073231148496,0.0477460160644413,0,"relative convergence (4)",84.6517561379279,86.6517561379279,9,"FULL",0.6,2,0.923716862242009,16.2387422089412
"gamma",2.0666616495657,0.0666237736522167,0,"relative convergence (4)",160.597146111022,161.16857468245,24,"RP",0.7,2,0.103311244115331,331.868177363535
"weibull",2.81367420490935,38.3526172736846,0,"relative convergence (4)",64.7879119105624,67.1879119105624,8,"RP",0.9,2,0.041560354935182,213.879041763529
"norm",42.4662218973964,43.0311112218966,0,"relative convergence (4)",104.80584761541,106.30584761541,11,"FULL",0.4,3,0.747540601592059,36.7872995011006
"llog",0.389413989196765,3.60338783922447,0,"relative convergence (4)",65.302433682095,68.302433682095,7,"FULL",0.6,3,0.929073133309202,12.5573178777778
"llog",0.358190333179262,2.96833418814013,0,"relative convergence (4)",86.9290077023692,88.1290077023692,13,"RP",0.7,3,0.099782320179981,186.119430154867
"llog",0.556571233303118,7.87855520951596,0,"relative convergence (4)",93.7621676307716,95.2621676307716,11,"RP",0.9,3,7.41218051742481e-05,164893.747440309
"weibull",3.12715212011728,54.3586492705323,0,"relative convergence (4)",114.778870023591,115.978870023591,13,"FULL",0.4,4,0.998802504339005,32.5389652697238
"llog",0.604312550269862,3.8548722326863,0,"relative convergence (4)",58.0547276172887,62.0547276172887,6,"FULL",0.6,4,0.775837643549041,12.8892946651253
"gamma",2.59986172930646,0.104074327242321,0,"relative convergence (4)",94.1423404792488,95.1423404792488,15,"RP",0.7,4,0.108817331859848,196.922411736491
"llog",0.297732157239071,2.66792993447862,0,"relative convergence (4)",62.1433893096258,63.8576750239115,10,"RP",0.9,4,0.138868676919311,80.011643788953
"llog",0.398311351697221,3.52260699277406,0,"relative convergence (4)",107.72868161256,109.062014945893,12,"FULL",0.4,5,0.938073601268274,31.9804330485796
"llog",0.491161699843196,3.60777583406613,0,"relative convergence (4)",83.6149151629362,85.6149151629362,9,"FULL",0.6,5,0.883981276923884,16.9686851877651
"llog",0.52697005701286,3.52203028754015,0,"relative convergence (4)",132.160898023569,132.960898023569,18,"RP",0.7,5,0.0753492684689286,341.267888020563
"weibull",2.40538432844415,28.052116901572,0,"relative convergence (4)",121.555646494661,122.412789351804,17,"RP",0.9,5,0.0760525330343931,248.366334890473
"llog",0.559423475641007,3.4579688283733,0,"relative convergence (4)",135.352287587806,136.352287587806,15,"FULL",0.4,6,0.886016820821018,42.3242529021639
"gamma",7.94725188018821,0.185350951601113,0,"relative convergence (4)",69.3673145474172,71.7673145474172,8,"FULL",0.6,6,0.998053630143555,13.3593355413331
"weibull",2.84956111475065,22.6603075755307,0,"relative convergence (4)",58.0421746065902,60.4421746065902,8,"RP",0.7,6,0.0829314653666531,137.807421803581
"gamma",2.26554973871019,0.0586401627799677,0,"relative convergence (4)",106.335174200428,107.335174200428,15,"RP",0.9,6,0.069204392086804,240.832498691145
"llog",0.936476857876726,4.73242962240399,0,"relative convergence (4)",122.554641329779,123.754641329779,13,"FULL",0.4,7,0.466079257761714,69.7306294128538
"llog",0.654440681991592,3.85348413794814,0,"relative convergence (4)",49.2080281733209,55.2080281733209,5,"FULL",0.6,7,0.759253846082215,10.9756880078168
"gamma",2.39616989485202,0.0389732247296372,0,"relative convergence (4)",168.659499221231,169.326165887898,21,"RP",0.7,7,0.0339941842635501,882.503894413703
"llog",0.927092147393254,9.48443405086813,0,"X-convergence (3)",76.7069230341991,78.0402563675324,12,"RP",0.9,7,0.000394861134619944,33767.1453691352
"llog",0.45435600984386,2.98298197280127,0,"relative convergence (4)",126.817176773448,127.817176773448,15,"FULL",0.4,8,0.97262323412899,38.5555255973113
"gamma",2.78205440881795,0.0959946862569848,0,"relative convergence (4)",70.0110842979808,72.4110842979808,8,"FULL",0.6,8,0.99722739392162,13.3704041972811
"weibull",1.98684517949111,23.8976870863455,0,"relative convergence (4)",67.1527020481077,68.8669877623934,10,"RP",0.7,8,0.12331289422926,115.849314664164
"gamma",1.83480747219332,0.0377324532807679,0,"relative convergence (4)",47.7010953172928,50.7010953172928,7,"RP",0.9,8,0.0674198715012852,115.363283918889
"weibull",3.38233610939582,56.472604954172,0,"relative convergence (4)",113.972518326765,115.172518326765,13,"FULL",0.4,9,0.999000492254487,32.532516502225
"norm",43.7875525033948,30.5512743579508,0,"relative convergence (4)",58.3900673267266,62.3900673267266,6,"FULL",0.6,9,0.89121783224835,11.2206013369057
"weibull",2.06197551538135,38.854691744526,0,"relative convergence (4)",114.932745211832,115.932745211832,15,"RP",0.7,9,0.0611663633375824,350.332605361959
"gamma",2.46675633552618,0.0551401782098426,0,"relative convergence (4)",72.9265601475528,74.9265601475528,9,"RP",0.9,9,0.0509666395692346,196.206775344011
